"filename", "language", "Rust", "TOML", "comment", "blank", "total"
"c:\Rust\Isolation\isolation-lib\Cargo.toml", "TOML", 0, 8, 1, 3, 12
"c:\Rust\Isolation\isolation-lib\src\camera.rs", "Rust", 25, 0, 20, 8, 53
"c:\Rust\Isolation\isolation-lib\src\helloworld.rs", "Rust", 24, 0, 19, 7, 50
"c:\Rust\Isolation\isolation-lib\src\hud.rs", "Rust", 2, 0, 0, 0, 2
"c:\Rust\Isolation\isolation-lib\src\hud\dialogue.rs", "Rust", 74, 0, 12, 3, 89
"c:\Rust\Isolation\isolation-lib\src\hud\use_obj.rs", "Rust", 42, 0, 6, 1, 49
"c:\Rust\Isolation\isolation-lib\src\lib.rs", "Rust", 15, 0, 16, 1, 32
"c:\Rust\Isolation\isolation-lib\src\player.rs", "Rust", 181, 0, 25, 12, 218
"c:\Rust\Isolation\isolation-lib\src\player\missions.rs", "Rust", 137, 0, 14, 13, 164
"c:\Rust\Isolation\isolation-lib\src\shadow.rs", "Rust", 24, 0, 1, 2, 27
"Total", "-", 524, 8, 114, 50, 696
